1191,1998-04-19,1998-04-19,"1998 Virginia States",1998-virginia-states
1192,1998-04-25,1998-04-25,"1998 Rhode Island States",1998-rhode-island-states
1193,1998-05-23,1998-05-23,"1998 Wham-O Invasion Championship",1998-wham-o-invasion-championship
1194,1998-05-30,1998-05-30,"1998 Frisbee Commemorative Festival",1998-frisbee-commemorative-festival
1195,1998-06-01,1998-06-01,"1998 Swedish Qualifier #1",1998-swedish-qualifier-1
1196,1998-06-06,1998-06-06,"1998 New England Freestyle Championships",1998-new-england-freestyle-championships
1197,1998-06-08,1998-06-09,"1998 MN States - St. Cloud",1998-mn-states-st-cloud
1198,1998-06-13,1998-06-14,"1998 Santa Cruz Beach Classic",1998-santa-cruz-beach-classic
1199,1998-06-20,1998-06-20,"1998 CT States",1998-ct-states
1200,1998-06-28,1998-06-28,"1998 Midwest Flying Disc Championships",1998-midwest-flying-disc-championships
1201,1998-06-20,1998-06-20,"1998 Kalmar Frisbee Klubb Championships",1998-kalmar-frisbee-klubb-championships
1202,1998-07-03,1998-07-05,"1998 Disc Or Die - Fort Collins",1998-disc-or-die-fort-collins
1203,1993-07-24,1993-07-24,"1993 Rhode Island States",1993-rhode-island-states
1204,1993-08-27,1993-08-29,"1993 FPA Worlds",1993-fpa-worlds
1205,1993-09-11,1993-09-11,"1993 New Hampshire States",1993-new-hampshire-states
1206,1993-09-01,1993-09-01,"1993 Oklahoma States",1993-oklahoma-states
1207,1993-10-09,1993-10-10,"1993 Amazing Flying Disc Championships",1993-amazing-flying-disc-championships
1208,1993-10-16,1993-10-17,"1993 Texas State Championships",1993-texas-state-championships
1209,1993-10-23,1993-10-23,"1993 LaMirada Fall Overall",1993-lamirada-fall-overall
1210,1993-10-17,1993-10-17,"1993 New England Flying Disc Championships",1993-new-england-flying-disc-championships
1211,1993-10-31,1993-10-31,"1993 New York State Championships",1993-new-york-state-championships
1212,1993-08-09,1993-08-15,"1993 Swedish Open",1993-swedish-open
1213,1993-10-01,1993-10-01,"1993 Tennessee States",1993-tennessee-states
1214,1993-10-01,1993-10-01,"1993 Alabama States",1993-alabama-states
1215,1993-10-01,1993-10-01,"1993 Kentucky States",1993-kentucky-states
1216,1993-12-11,1993-12-12,"1993 Arizona States",1993-arizona-states
1217,1994-01-15,1994-01-15,"1994 New Zealand Championships",1994-new-zealand-championships
1218,1994-02-20,1994-02-20,"1994 Wintertime Open",1994-wintertime-open
1219,1994-03-12,1994-03-12,"1994 Los Angeles Monthly #2",1994-los-angeles-monthly-2
1220,1993-01-01,1993-01-01,"1993 New Zealand Championships",1993-new-zealand-championships
1221,1993-08-21,1993-08-22,"1993 Beach Bowl 13",1993-beach-bowl-13
1222,1993-08-21,1993-08-21,"1993 Connecticut States",1993-connecticut-states
